"date_obs" "Local.Time" "Temperature" "Dewpoint" "Humidity" "Barometer" "Visibility" "Wind.Direction" "Wind.Speed" "Gust.Speed" "Precipitation" "Events" "Conditions"
"137" 2015-04-09 "7:30 PM" 12 6 67 1022 NA "ESE (120°)" 14.3 NA "" "" "Clear"
"138" 2015-04-09 "8:00 PM" 12 6 67 1023 NA "SE (130°)" 10.8 NA "" "" "Clear"
"139" 2015-04-09 "8:30 PM" 12 6 67 1023 NA "ESE (120°)" 10.8 NA "" "" "Clear"
"140" 2015-04-09 "9:00 PM" 12 5 62 1023 NA "ESE (120°)" 7.2 NA "" "" "Clear"
"141" 2015-04-09 "9:30 PM" 12 5 62 1023 NA "SE (140°)" 7.2 NA "" "" "Clear"
"142" 2015-04-09 "10:00 PM" 12 5 62 1023 NA "ESE (120°)" 7.2 NA "" "" "Clear"
"143" 2015-04-09 "10:30 PM" 12 6 67 1023 NA "SSE (150°)" 7.2 NA "" "" "Clear"
"144" 2015-04-09 "11:00 PM" 12 6 67 1023 NA "SE (130°)" 7.2 NA "" "" "Clear"
"145" 2015-04-09 "11:30 PM" 12 7 72 1023 NA "Variable" 3.5 NA "" "" "Clear"
"146" 2015-04-08 "12:00 AM" 5 3 87 1030.1 10 "NW (320°)" 18 NA "" "" "Mostly Cloudy"
"147" 2015-04-08 "12:30 AM" 5 3 87 1029.1 10 "NW (320°)" 14.3 NA "" "" "Mostly Cloudy"
"148" 2015-04-08 "1:00 AM" 5 3 87 1029.1 10 "NNW (330°)" 14.3 NA "" "" "Scattered Clouds"
"149" 2015-04-08 "1:30 AM" 5 3 87 1029.1 10 "NW (320°)" 14.3 NA "" "" "Mostly Cloudy"
"150" 2015-04-08 "2:00 AM" 5 3 87 1029.1 10 "NNW (330°)" 14.3 NA "" "" "Mostly Cloudy"
"151" 2015-04-08 "2:30 AM" 5 3 87 1028.1 10 "NNW (330°)" 14.3 NA "" "" "Partly Cloudy"
"152" 2015-04-08 "3:00 AM" 5 3 87 1029.1 NA "NNW (330°)" 10.8 NA "" "" "Clear"
"153" 2015-04-08 "3:30 AM" 5 3 87 1029.1 NA "NNW (330°)" 14.3 NA "" "" "Clear"
"154" 2015-04-08 "4:00 AM" 5 3 87 1029.1 NA "NNW (330°)" 14.3 NA "" "" "Clear"
"155" 2015-04-08 "4:30 AM" 6 3 81 1029.1 NA "NNW (330°)" 18 NA "" "" "Clear"
"156" 2015-04-08 "5:00 AM" 6 3 81 1028.1 NA "NNW (340°)" 14.3 NA "" "" "Clear"
"157" 2015-04-08 "5:30 AM" 6 3 81 1028.1 NA "NNW (340°)" 14.3 NA "" "" "Clear"
"158" 2015-04-08 "6:00 AM" 6 3 81 1028.1 NA "NNW (340°)" 14.3 NA "" "" "Clear"
"159" 2015-04-08 "6:30 AM" 6 3 81 1028.1 NA "NNW (330°)" 14.3 NA "" "" "Clear"
"160" 2015-04-08 "7:00 AM" 7 3 76 1029.1 NA "NNW (340°)" 14.3 NA "" "" "Clear"
"161" 2015-04-08 "7:30 AM" 7 4 81 1029.1 NA "NNW (330°)" 14.3 NA "" "" "Clear"
"162" 2015-04-08 "8:00 AM" 7 3 76 1029.1 10 "NNW (330°)" 18 NA "" "" "Scattered Clouds"
"163" 2015-04-08 "8:30 AM" 9 4 71 1029.1 10 "North (350°)" 18 NA "" "" "Mostly Cloudy"
"164" 2015-04-08 "9:00 AM" 10 4 66 1029.1 10 "North (350°)" 18 NA "" "" "Mostly Cloudy"
"165" 2015-04-08 "9:30 AM" 10 3 62 1029.1 10 "North (10°)" 21.6 NA "" "" "Mostly Cloudy"
"166" 2015-04-08 "10:00 AM" 10 3 62 1029.1 10 "North (350°)" 18 NA "" "" "Scattered Clouds"
"167" 2015-04-08 "10:30 AM" 11 3 58 1029.1 10 "North (360°)" 18 NA "" "" "Scattered Clouds"
"168" 2015-04-08 "11:00 AM" 11 2 54 1029.1 10 "North (10°)" 18 NA "" "" "Mostly Cloudy"
"169" 2015-04-08 "11:30 AM" 12 2 51 1028.1 10 "NNE (30°)" 14.3 NA "" "" "Mostly Cloudy"
"170" 2015-04-08 "12:00 PM" 11 1 50 1028.1 10 "NE (40°)" 14.3 NA "" "" "Mostly Cloudy"
"171" 2015-04-08 "12:30 PM" 11 2 54 1028.1 10 "North (350°)" 14.3 NA "" "" "Mostly Cloudy"
"172" 2015-04-08 "1:00 PM" 12 2 51 1027.1 10 "North (360°)" 14.3 NA "" "" "Mostly Cloudy"
"173" 2015-04-08 "1:30 PM" 12 1 47 1027.1 10 "North (360°)" 18 NA "" "" "Mostly Cloudy"
"174" 2015-04-08 "2:00 PM" 13 2 47 1026.1 10 "North (10°)" 18 NA "" "" "Mostly Cloudy"
"175" 2015-04-08 "2:30 PM" 13 2 47 1026.1 10 "North (350°)" 14.3 NA "" "" "Mostly Cloudy"
"176" 2015-04-08 "3:00 PM" 13 2 47 1026.1 10 "NNW (340°)" 10.8 NA "" "" "Mostly Cloudy"
"177" 2015-04-08 "3:30 PM" 12 1 47 1026.1 10 "North (360°)" 14.3 NA "" "" "Mostly Cloudy"
"178" 2015-04-08 "4:00 PM" 12 1 47 1025.1 10 "North (10°)" 10.8 NA "" "" "Partly Cloudy"
"179" 2015-04-08 "4:30 PM" 12 1 47 1025.1 NA "NNE (30°)" 14.3 NA "" "" "Clear"
"180" 2015-04-08 "5:00 PM" 11 2 54 1025.1 NA "North (10°)" 14.3 NA "" "" "Clear"
"181" 2015-04-08 "5:30 PM" 11 2 54 1025.1 NA "NNE (30°)" 10.8 NA "" "" "Clear"
"182" 2015-04-08 "6:00 PM" 11 1 50 1025.1 NA "NE (40°)" 14.3 NA "" "" "Clear"
"183" 2015-04-08 "6:30 PM" 11 1 50 1025.1 NA "NE (50°)" 10.8 NA "" "" "Clear"
"184" 2015-04-08 "7:00 PM" 10 1 54 1025.1 NA "NE (50°)" 14.3 NA "" "" "Clear"
"185" 2015-04-08 "7:30 PM" 10 2 58 1026.1 NA "NE (50°)" 14.3 NA "" "" "Clear"
"186" 2015-04-08 "8:00 PM" 10 2 58 1026.1 NA "NE (50°)" 14.3 NA "" "" "Clear"
"187" 2015-04-08 "8:30 PM" 9 3 66 1026.1 NA "NE (50°)" 14.3 NA "" "" "Clear"
"188" 2015-04-08 "9:00 PM" 9 3 66 1026.1 NA "NE (40°)" 14.3 NA "" "" "Clear"
"189" 2015-04-08 "9:30 PM" 9 3 66 1026.1 NA "NE (40°)" 10.8 NA "" "" "Clear"
"190" 2015-04-08 "10:00 PM" 9 2 62 1026.1 NA "ENE (70°)" 7.2 NA "" "" "Clear"
"191" 2015-04-08 "10:30 PM" 8 1 62 1026.1 NA "ENE (60°)" 10.8 NA "" "" "Clear"
"192" 2015-04-08 "11:00 PM" 8 1 62 1026.1 NA "East (80°)" 7.2 NA "" "" "Clear"
"193" 2015-04-07 "12:00 AM" 9 7 87 1025.1 10 "NNE (20°)" 21.6 NA "" "Rain" "Light Rain Showers"
"194" 2015-04-07 "12:30 AM" 8 7 93 1025.1 10 "North (360°)" 18 NA "" "Rain" "Light Rain Showers"
"195" 2015-04-07 "1:00 AM" 8 7 93 1026.1 10 "North (360°)" 21.6 NA "" "Rain" "Light Rain Showers"
"196" 2015-04-07 "1:30 AM" 8 7 93 1025.1 10 "NNE (20°)" 21.6 NA "" "Rain" "Light Rain Showers"
"197" 2015-04-07 "2:00 AM" 8 7 93 1025.1 10 "North (10°)" 18 NA "" "Rain" "Light Rain"
"198" 2015-04-07 "2:30 AM" 8 7 93 1025.1 10 "North (360°)" 18 NA "" "Rain" "Light Rain"
"199" 2015-04-07 "3:00 AM" 8 6 87 1025.1 10 "North (360°)" 25.3 NA "" "Rain" "Light Rain"
"200" 2015-04-07 "3:30 AM" 8 6 87 1025.1 10 "North (10°)" 21.6 NA "" "" "Partly Cloudy"
"201" 2015-04-07 "4:00 AM" 8 5 81 1025.1 10 "North (360°)" 21.6 NA "" "" "Partly Cloudy"
"202" 2015-04-07 "4:30 AM" 8 5 81 1025.1 10 "North (10°)" 21.6 NA "" "" "Partly Cloudy"
"203" 2015-04-07 "5:00 AM" 8 5 81 1025.1 10 "North (10°)" 21.6 NA "" "" "Scattered Clouds"
"204" 2015-04-07 "5:30 AM" 8 4 76 1025.1 10 "North (10°)" 18 NA "" "" "Scattered Clouds"
"205" 2015-04-07 "6:00 AM" 8 4 76 1025.1 10 "NNE (20°)" 21.6 NA "" "" "Partly Cloudy"
"206" 2015-04-07 "6:30 AM" 8 3 71 1026.1 NA "NNE (30°)" 25.3 NA "" "" "Clear"
